page,n_orden,localidad,total,varones,mujeres,suma_vm,delta,estado
v5_p02,5,Concepción del Uruguay,36486,18046,18440,36486,0,ok
v5_p02,4,Concordia,56654,26720,29934,56654,0,ok
v5_p02,284,Conscripto Bernardi,234,119,115,234,0,ok
v5_p02,91,Corpus,1414,724,690,1414,0,ok
v5_p02,2,Corrientes,97507,46001,51506,97507,0,ok
v5_p02,28,Crespo,5706,2761,2945,5706,0,ok
v5_p02,285,Cuay Grande,232,128,104,232,0,ok
v5_p02,266,Cuchilla Redonda,312,155,157,312,0,ok
v5_p02,6,Curuzú-Cuatiá,16567,8026,8541,16567,0,ok
v5_p02,20,Chajarí,9075,4368,4707,9075,0,ok
v5_p02,126,Chavarría,993,439,554,993,0,ok
v5_p02,143,Desvío Parada Pucheta,912,471,441,912,0,ok
v5_p02,17,Diamante,10948,5403,5545,10948,0,ok
v5_p02,148,Don Cristóbal,852,442,410,852,0,ok
v5_p02,76,Dos Arroyos,1739,892,847,1739,0,ok
v5_p02,114,Dos de Mayo,1165,585,580,1165,0,ok
v5_p02,32,Durazno,419,219,200,419,0,ok
v5_p02,207,Echagüe,523,271,252,523,0,ok
v5_p02,47,Eldorado,2778,1434,1344,2778,0,ok
v5_p03,267,El Pingo,311,169,142,311,0,ok
v5_p03,273,El Redomón,272,147,125,272,0,ok
v5_p03,109,El Soberbio,1201,622,579,1201,0,ok
v5_p03,295,Emilio R. Coni,184,104,80,184,0,ok
v5_p03,35,Empedrado,3735,1692,2043,3735,0,ok
v5_p03,131,Enrique Carbó,956,471,485,956,0,ok
v5_p03,258,Ensenada Grande,333,173,160,333,0,ok
v5_p03,297,Escriña,183,95,88,183,0,ok
v5_p03,23,Esquina,7619,3441,4178,7619,0,ok
v5_p03,124,Fábrica Colón,1067,550,517,1067,0,ok
v5_p03,201,Fachinal,546,290,256,546,0,ok
v5_p03,191,Faustino M. Parera,612,296,316,612,0,ok
v5_p03,230,Febre,429,205,224,429,0,ok
v5_p03,31,Federación,4247,2083,2164,4247,0,ok
v5_p03,110,Florentino Ameghino,1200,637,563,1200,0,ok
v5_p03,88,Garupá,1493,765,728,1493,0,ok
v5_p03,270,Garruchos,289,131,158,289,0,ok
v5_p03,257,General Almada,338,156,182,338,0,ok
v5_p03,119,General Alvear,1144,617,527,1144,0,ok
v5_p03,93,General Campos,1400,701,699,1400,0,ok
v5_p03,55,General Galarza,2435,1195,1240,2435,0,ok
v5_p03,79,General Paz,1689,749,940,1689,0,ok
v5_p03,217,General Racedo,490,239,251,490,0,ok
v5_p03,116,General Urquiza,1154,651,503,1154,0,ok
v5_p03,176,Gilbert,668,336,332,668,0,ok
v5_p03,122,Gobernador Gral. López,1080,562,518,1080,0,ok
v5_p03,67,Gobernador Ingeniero Valentín Virasoro,1993,998,995,1993,0,ok
v5_p03,89,Gobernador J.E. Martínez,1434,683,751,1434,0,ok
v5_p03,133,Gobernador Mansilla,947,443,504,947,0,ok
v5_p03,117,Gobernador Racedo,1147,549,598,1147,0,ok
v5_p03,274,González Calderón,268,164,104,268,0,ok
v5_p03,6,Goya,30011,14543,15468,30011,0,ok
v5_p03,9,Gualeguay,16542,7436,9106,16542,0,ok
v5_p03,7,Gualeguaychú,29863,13956,15907,29863,0,ok
v5_p03,87,Guaraní,1533,818,715,1533,0,ok
v5_p03,263,Guardamonte,323,152,171,323,0,ok
v5_p03,74,Hasenkamp,1789,877,912,1789,0,ok
v5_p03,206,Herlitzka,527,251,276,527,0,ok
v5_p03,272,Hernándes,283,134,149,283,0,ok
v5_p03,162,Herrera,762,384,378,762,0,ok
v5_p04,41,Ibicuy,3356,1791,1565,3356,0,ok
v5_p04,188,Ifrán,622,310,312,622,0,ok
v5_p04,53,Iguazú,2547,1311,1236,2547,0,ok
v5_p04,199,Ingenio 1er. Correntino,567,286,281,567,0,ok
v5_p04,179,Invernada de Itacuararé,661,321,340,661,0,ok
v5_p04,160,Irasusta,773,391,382,773,0,ok
v5_p04,181,Isabel Victoria,654,340,314,654,0,ok
v5_p04,231,Itacuararé,422,236,186,422,0,ok
v5_p04,100,Itá-Ibaté,1356,665,691,1356,0,ok
v5_p04,82,Itatí,1612,740,872,1612,0,ok
v5_p04,54,Ituzaingó,2459,1199,1260,2459,0,ok
v5_p04,84,Jardín América,1589,810,779,1589,0,ok
v5_p04,65,Juan B. Arruabarrena,1997,947,1050,1997,0,ok
v5_p04,283,Juan Jorge,236,132,104,236,0,ok
v5_p04,187,Juan Pujol,625,492,133,625,0,ok
v5_p04,211,Jubileo,509,260,249,509,0,ok
v5_p04,213,Labougle,503,238,265,503,0,ok
v5_p04,209,La Capilla,521,278,243,521,0,ok
v5_p04,241,La Clarita,389,206,183,389,0,ok
v5_p04,183,La Criolla,645,336,309,645,0,ok
v5_p04,37,La Cruz,3522,1654,1868,3522,0,ok
v5_p04,252,La Esmeralda,348,179,169,348,0,ok
v5_p04,190,Lagunas Bravas,615,309,306,615,0,ok
v5_p04,16,La Paz,11028,5088,5940,11028,0,ok
v5_p04,298,La Picada,182,88,94,182,0,ok
v5_p04,243,Las Mercedes,385,180,205,385,0,ok
v5_p04,85,Lavalle,1571,793,778,1571,0,ok
v5_p04,224,Laso,455,244,211,455,0,ok
v5_p04,32,Leandro N. Alem,4207,2070,2137,4207,0,ok
v5_p04,205,Leguizamón,531,298,233,531,0,ok
v5_p04,278,Líbaros,255,136,119,255,0,ok
v5_p04,66,Libertad,1996,951,1045,1996,0,ok
v5_p04,98,Libertador,1360,678,682,1360,0,ok
v5_p04,155,Lib. Gral. San Martín,809,490,319,809,0,ok
v5_p04,58,Lib. Gral. San Martín,2267,1148,1119,2267,0,ok
v5_p04,296,Lomas de Galarza,184,92,92,184,0,ok
v5_p04,159,Lomas de Vallejos,790,394,396,790,0,ok
v5_p04,140,Loreto,918,459,459,918,0,ok
v5_p04,113,Loreto,1186,634,552,1186,0,ok
v5_p04,125,Los Conquistadores,1044,506,538,1044,0,ok
v5_p04,135,Los Charrúas,933,480,453,933,0,ok
v5_p05,106,Los Helechos,1284,679,605,1284,0,ok
v5_p05,118,Lucas González,1145,524,621,1145,0,ok
v5_p05,50,Maciá,2674,1280,1394,2674,0,ok
v5_p05,304,Machadiño,112,54,58,112,0,ok
v5_p05,146,Malvinas,872,371,501,872,0,ok
v5_p05,195,Manantiales,586,280,306,586,0,ok
v5_p05,198,Manuel Belgrano (San Antonio),570,295,275,570,0,ok
v5_p05,152,Manuel Derqui,842,407,435,842,0,ok
v5_p05,78,Manuel F. Mantilla,1697,814,883,1697,0,ok
v5_p05,45,María Grande,2819,1340,1479,2819,0,ok
v5_p05,166,Mártires,727,394,333,727,0,ok
v5_p05,51,Mburucuyá,2654,1206,1448,2654,0,ok
v5_p05,182,Médanos,647,337,310,647,0,ok
v5_p05,12,Mercedes,13368,5967,7401,13368,0,ok
v5_p05,80,Miguel Lanús,1681,877,804,1681,0,ok
v5_p05,291,Miñones,204,116,88,204,0,ok
v5_p05,130,Mocoretá,960,489,471,960,0,ok
v5_p05,107,Mojón Grande,1223,627,596,1223,0,ok
v5_p05,163,Monteagudo,761,397,364,761,0,ok
v5_p05,75,Montecarlo,1764,934,830,1764,0,ok
v5_p05,13,Monte Caseros,12930,6323,6607,12930,0,ok
v5_p05,18,Nogoyá,10911,5084,5827,10911,0,ok
v5_p05,221,Nueva Vizcaya,475,257,218,475,0,ok
v5_p05,158,Nueve de Julio,794,368,426,794,0,ok
v5_p05,139,Nueve de Julio,920,524,396,920,0,ok
v5_p05,15,Oberá,12322,6019,6303,12322,0,ok
v5_p05,276,Olegario V. Andrade,262,138,124,262,0,ok
v5_p05,228,Olegario V. Andrade,448,233,215,448,0,ok
v5_p05,171,Ombucito,692,328,364,692,0,ok
v5_p05,250,Pago de los Deseos,355,169,186,355,0,ok
v5_p05,184,Palmar Grande,640,315,325,640,0,ok
v5_p05,244,Paraje San Isidro,384,197,187,384,0,ok
v5_p05,1,Paraná,107551,50859,56692,107551,0,ok
v5_p05,147,Paso de la Patria,858,437,421,858,0,ok
v5_p05,11,Paso de los Libres,15054,7642,7412,15054,0,ok
v5_p05,293,Paso Florentín,202,110,92,202,0,ok
v5_p05,301,Pastor Britos,135,72,63,135,0,ok
v5_p05,279,Pedernal,250,137,113,250,0,ok
v5_p05,221,Perugorría,1110,495,615,1110,0,ok
v5_p05,275,Piloto Avila,266,132,134,266,0,ok
v5_p06,197,Playadito,571,298,273,571,0,ok
v5_p06,3,Posadas,70691,33937,36754,70691,0,ok
v5_p06,281,Primero de Mayo,246,121,125,246,0,ok
v5_p06,288,Profundidad,218,119,99,218,0,ok
v5_p06,174,Pronunciamiento,676,339,337,676,0,ok
v5_p06,218,Pueblo Bellock,484,240,244,484,0,ok
v5_p06,149,Pueblo Brugo,845,429,416,845,0,ok
v5_p06,260,Pueblo Cazés,249,131,118,249,0,ok
v5_p06,302,Pueblo Moreno,129,64,65,129,0,ok
v5_p06,202,Pueblo San Martín (Pto. Curtiembre),544,282,262,544,0,ok
v5_p06,96,Puerto Esperanza,1363,750,613,1363,0,ok
v5_p06,115,Puerto Gisela,1161,601,560,1161,0,ok
v5_p06,229,Puerto Leoni,962,533,429,962,0,ok
v5_p06,254,Puerto Londero,343,177,166,343,0,ok
v5_p06,167,Puerto Naranjito,726,408,318,726,0,ok
v5_p06,112,Puerto Panambí,1190,623,567,1190,0,ok
v5_p06,69,Puerto Piray,1957,1034,923,1957,0,ok
v5_p06,237,Puerto Rosario,402,211,191,402,0,ok
v5_p06,200,Puerto Victoria,549,308,241,549,0,ok
v5_p06,238,Puerto Yeruá,399,219,180,399,0,ok
v5_p06,269,Puiggari,290,152,138,290,0,ok
v5_p06,227,Punta Grande,450,219,231,450,0,ok
v5_p06,225,Raíces,452,251,201,452,0,ok
v5_p06,178,Ramada Paso,664,354,310,664,0,ok
v5_p06,268,Rocamora,309,145,164,309,0,ok
v5_p06,24,Rosario del Tala,7350,3455,3895,7350,0,ok
v5_p06,83,Ruiz de Montoya,1599,876,723,1599,0,ok
v5_p06,259,Saenz Valiente,333,160,153,313,20,flag
v5_p06,33,Saladas,3883,1697,2186,3883,0,ok
v5_p06,251,San Antonio,350,174,176,350,0,ok
v5_p06,212,San Benito,509,248,261,509,0,ok
v5_p06,72,San Carlos,1858,931,927,1858,0,ok
v5_p06,216,San Cosme,496,226,270,496,0,ok
v5_p06,249,San Gustavo,145,76,69,145,0,ok
v5_p06,63,San Ignacio,2106,992,1114,2106,0,ok
v5_p06,64,San Javier,2102,988,1114,2102,0,ok
v5_p06,59,San José,2188,1021,1167,2188,0,ok
v5_p06,49,San José,2691,1339,1352,2691,0,ok
v5_p06,36,San José de Feliciano,3721,1723,1998,3721,0,ok
v5_p06,265,San Justo,314,155,159,314,0,ok
v5_p07,157,San Lorenzo,800,385,415,800,0,ok
v5_p07,40,San Luis del Palmar,3407,1617,1790,3407,0,ok
v5_p07,104,San Miguel,1300,622,678,1300,0,ok
v5_p07,123,San Pedro,1069,557,512,1069,0,ok
v5_p07,44,San Roque,2918,1351,1567,2918,0,ok
v5_p07,253,San Salvador,345,165,180,345,0,ok
v5_p07,62,San Salvador,2108,1023,1085,2108,0,ok
v5_p07,166,Santa Ana,638,340,298,638,0,ok
v5_p07,170,Santa Ana,698,361,337,698,0,ok
v5_p07,61,Santa Ana,2136,1060,1076,2136,0,ok
v5_p07,137,Santa Anita,927,436,491,927,0,ok
v5_p07,22,Santa Elena,8174,3993,4181,8174,0,ok
v5_p07,43,Santa Lucía,2930,1312,1618,2930,0,ok
v5_p07,287,Santa María,227,116,111,227,0,ok
v5_p07,180,Santa Rita,661,337,324,661,0,ok
v5_p07,247,Santa Rosa,369,180,189,369,0,ok
v5_p07,103,Santiago de Liniers,1327,748,579,1327,0,ok
v5_p07,151,Santo Pipó,844,445,399,844,0,ok
v5_p07,19,Santo Tomé,10121,4663,5458,10121,0,ok
v5_p07,39,Sauce,3448,1507,1941,3448,0,ok
v5_p07,215,Sauce de Luna,501,242,259,501,0,ok
v5_p07,264,Sauce Pintos,322,156,166,322,0,ok
v5_p07,60,Seguí,2161,1045,1116,2161,0,ok
v5_p07,235,Solá,404,189,215,404,0,ok
v5_p07,81,Solari,1636,755,881,1636,0,ok
v5_p07,223,Sosa,458,217,241,458,0,ok
v5_p07,99,Strobel,1358,695,663,1358,0,ok
v5_p07,194,Tabay,588,305,283,588,0,ok
v5_p07,168,Tabossi,707,347,360,707,0,ok
v5_p07,269,Tacuaral,218,109,109,218,0,ok
v5_p07,236,Tapebicuá,404,200,204,404,0,ok
v5_p07,208,Torrent,523,273,250,523,0,ok
v5_p07,256,Tres Bocas,339,178,161,339,0,ok
v5_p07,144,Tres Capones,903,481,422,903,0,ok
v5_p07,229,Ubajay,442,231,211,442,0,ok
v5_p07,38,Urdinarrain,3484,1613,1871,3484,0,ok
v5_p07,172,Valle María,690,355,335,690,0,ok
v5_p07,271,Veinte de Setiembre,289,144,145,289,0,ok
v5_p07,134,Veinticinco de Mayo,935,469,466,935,0,ok
v5_p07,34,Viale,3873,1879,1994,3873,0,ok
v5_p07,10,Victoria,15108,6998,8110,15108,0,ok
v5_p08,86,Villa Clara,1557,788,769,1557,0,ok
v5_p08,108,Villa del Rosario,1206,514,692,1206,0,ok
v5_p08,128,Villa Domínguez,984,472,512,984,0,ok
v5_p08,48,Villa Elisa,2715,1373,1342,2715,0,ok
v5_p08,29,Villa Federal,5256,2476,2780,5256,0,ok
v5_p08,42,Villa General Ramírez,3203,1557,1646,3203,0,ok
v5_p08,14,Villaguay,12463,5752,6711,12463,0,ok
v5_p08,46,Villa Hernandarias,2788,1303,1485,2788,0,ok
v5_p08,68,Villa Larroque,1993,967,1026,1993,0,ok
v5_p08,127,Villa Mantero,989,484,505,989,0,ok
v5_p08,111,Villa Piedras Blancas,1196,636,560,1196,0,ok
v5_p08,196,Villa San Marcial (Gob. Urquiza),578,281,297,578,0,ok
v5_p08,292,Villa Urquiza,204,105,99,204,0,ok
v5_p08,132,Villa Zorraquín,952,491,461,952,0,ok
v5_p08,102,Wanda,1331,742,589,1331,0,ok
v5_p08,173,Yabebiry,689,373,316,689,0,ok
v5_p08,90,Yapeyú,1431,769,662,1431,0,ok
v5_p08,150,Yataití Calle,845,411,434,845,0,ok
v5_p08,294,Yeruá,194,98,96,194,0,ok
v5_p08,254,Yofré,826,383,443,826,0,ok
v5_p08,142,Yuquerí,914,532,382,914,0,ok
v6_p01,260,Abra Grande,192,87,105,192,0,ok
v6_p01,183,Aerolito,440,234,206,440,0,ok
v6_p01,278,Agustina Libarona,154,89,65,154,0,ok
v6_p01,240,Alhuampa,250,112,138,250,0,ok
v6_p01,264,Alto Alegre,188,98,90,188,0,ok
v6_p01,284,Amamá,106,58,48,106,0,ok
v6_p01,9,Añatuya,11753,5572,6181,11753,0,ok
v6_p01,228,Ardiles,281,133,148,281,0,ok
v6_p01,263,Argentina,188,103,85,188,0,ok
v6_p01,157,Arraga,546,283,263,546,0,ok
v6_p01,217,Averías,332,182,150,332,0,ok
v6_p01,118,Avia Terai,818,421,397,818,0,ok
v6_p01,272,Baez,169,74,95,169,0,ok
v6_p01,41,Bandera,2035,1004,1031,2035,0,ok
v6_p01,110,Bandera Bajada,893,453,440,893,0,ok
v6_p01,243,Barrancas,242,108,134,242,0,ok
v6_p01,5,Barranqueras,19779,9852,9927,19779,0,ok
v6_p01,244,Barrialito,241,109,132,241,0,ok
v6_p01,92,Bartolomé de las Casas,1269,660,609,1269,0,ok
v6_p01,137,Basail,659,332,327,659,0,ok
v6_p01,204,Belgrano,381,176,205,381,0,ok
v6_p01,77,Beltrán,1472,740,732,1472,0,ok
v6_p01,82,Benítez,1426,738,688,1426,0,ok
v6_p01,280,Bobadal,117,54,63,117,0,ok
v6_p01,119,Brea Pozo,815,401,414,815,0,ok
v6_p01,68,Buena Vista,1511,795,716,1511,0,ok
v6_p01,38,Campo Gallo,2336,1152,1184,2336,0,ok
v6_p01,39,Campo Largo,2059,1044,1015,2059,0,ok
v6_p01,117,Capitán Solari,831,445,386,831,0,ok
v6_p01,215,Cardozo,337,170,167,337,0,ok
v6_p01,227,Casares,285,154,131,285,0,ok
v6_p01,23,Castelli,4131,2024,2107,4131,0,ok
v6_p01,238,Cejolao,258,126,132,258,0,ok
v6_p01,18,Clodomira,4685,2291,2394,4685,0,ok
v6_p01,160,Clodomiro Díaz,540,279,261,540,0,ok
v6_p01,10,Clorinda,10043,4716,5327,10043,0,ok
v6_p01,141,Colonia Baranda,622,356,266,622,0,ok
v6_p01,35,Colonia Dora,2548,1349,1199,2548,0,ok
v6_p01,86,Colonia Elisa,1338,638,700,1338,0,ok
v6_p01,100,Colonia José Mármol,1076,599,477,1076,0,ok
v6_p01,91,Colonias Unidas,1273,626,647,1273,0,ok
v6_p02,42,Colonia Villafañe,1966,998,968,1966,0,ok
v6_p02,271,Ciervo Petizo,169,79,90,169,0,ok
v6_p02,54,Comandante Fontana,1686,794,892,1686,0,ok
v6_p02,103,Concepción del Bermejo,1037,512,525,1037,0,ok
v6_p02,81,Coronel Du Graty,1438,691,747,1438,0,ok
v6_p02,239,Coronel Manuel L. Rico,250,134,116,250,0,ok
v6_p02,29,Corzuela,3295,1639,1656,3295,0,ok
v6_p02,105,Cote Lai,982,492,490,982,0,ok
v6_p02,46,Charadai,1872,937,935,1872,0,ok
v6_p02,11,Charata,8953,4327,4626,8953,0,ok
v6_p02,248,Chaupi Pozo,231,91,140,231,0,ok
v6_p02,200,Chilca Juliana,394,179,215,394,0,ok
v6_p02,147,Chorotis,607,328,279,607,0,ok
v6_p02,127,Choya,754,377,377,754,0,ok
v6_p02,184,Desvío Bruchard,432,237,195,432,0,ok
v6_p02,128,Donadeu,754,356,398,754,0,ok
v6_p02,230,Doña Luisa,276,124,152,276,0,ok
v6_p02,133,El Caburé,703,375,328,703,0,ok
v6_p02,242,El Cajón,246,130,116,246,0,ok
v6_p02,199,El Charco,398,192,206,398,0,ok
v6_p02,206,El Chorro,377,189,188,377,0,ok
v6_p02,26,El Colorado,3755,1867,1888,3755,0,ok
v6_p02,162,El Malacara,527,264,263,527,0,ok
v6_p02,249,El Mojón,226,116,110,226,0,ok
v6_p02,213,El Negrito,343,166,177,343,0,ok
v6_p02,237,El Pértigo,263,139,124,263,0,ok
v6_p02,201,El Pintado,388,203,185,388,0,ok
v6_p02,94,Enrique Urien,1254,684,570,1254,0,ok
v6_p02,84,Espinillo,1398,671,727,1398,0,ok
v6_p02,149,Estación Atamisqui,590,267,323,590,0,ok
v6_p02,171,Estación Los Tigres,490,320,170,490,0,ok
v6_p02,143,Estación Medellín,620,293,327,620,0,ok
v6_p02,66,Estanislao del Campo,1532,705,827,1532,0,ok
v6_p02,167,Esteros,508,236,272,508,0,ok
v6_p02,30,Fernández,3115,1533,1582,3115,0,ok
v6_p02,49,Fontana,1737,880,857,1737,0,ok
v6_p02,3,Formosa,36499,17574,18925,36499,0,ok
v6_p02,62,Forres,1634,824,810,1634,0,ok
v6_p02,214,Fortín Aguilar,338,181,157,338,0,ok
v6_p02,275,Fortín Cardoso,161,91,70,161,0,ok
v6_p03,8,Frías,11862,5554,6308,11862,0,ok
v6_p03,67,Frontera,1514,773,741,1514,0,ok
v6_p03,125,Gancedo,757,379,378,757,0,ok
v6_p03,139,Garza,632,310,322,632,0,ok
v6_p03,166,General Capdevila,510,282,228,510,0,ok
v6_p03,14,Gral. José de San Martín,5390,2522,2868,5390,0,ok
v6_p03,22,General Pinedo,4308,2126,2182,4308,0,ok
v6_p03,115,General Vedia,851,430,421,851,0,ok
v6_p03,159,Girardet,542,299,243,542,0,ok
v6_p03,112,Gramilla,888,424,464,888,0,ok
v6_p03,170,Granadero Gatica,491,254,237,491,0,ok
v6_p03,79,Gran Guardia,1450,770,680,1450,0,ok
v6_p03,134,Guardia Escolta,698,367,331,698,0,ok
v6_p03,247,Haase,234,134,100,234,0,ok
v6_p03,188,Haumonia,426,244,182,426,0,ok
v6_p03,56,Herradura,1679,845,834,1679,0,ok
v6_p03,55,Herrera,1685,848,837,1685,0,ok
v6_p03,113,Hermoso Campo,879,464,415,879,0,ok
v6_p03,169,Horquilla,506,264,242,506,0,ok
v6_p03,150,Hoyón,586,242,344,586,0,ok
v6_p03,273,Huayamampa,165,87,78,165,0,ok
v6_p03,20,Ibarreta,4366,2220,2146,4366,0,ok
v6_p03,44,Icaño,1926,979,947,1926,0,ok
v6_p03,221,Ingeniero Barbet,311,160,151,311,0,ok
v6_p03,258,Ingeniero Ezcurra,199,99,100,199,0,ok
v6_p03,76,Ingeniero Juárez,1478,746,732,1478,0,ok
v6_p03,255,Isca Yacu,206,101,105,206,0,ok
v6_p03,158,Itín,543,285,258,543,0,ok
v6_p03,189,Juan G. Bazán,426,213,213,426,0,ok
v6_p03,185,Juncal Grande,431,209,222,431,0,ok
v6_p03,132,Km. 100 Nav. Río Bermejo,717,386,331,717,0,ok
v6_p03,223,Kilómetro 213,300,167,133,300,0,ok
v6_p03,154,La Aurora,568,298,270,568,0,ok
v6_p03,4,La Banda,23772,11177,12595,23772,0,ok
v6_p03,245,La Brea,237,111,126,237,0,ok
v6_p03,172,La Cañada,487,237,250,487,0,ok
v6_p03,73,La Clotilde,1485,764,721,1485,0,ok
v6_p03,123,La Eduvigis,768,420,348,768,0,ok
v6_p03,40,La Escondida,2044,1059,985,2044,0,ok
v6_p03,135,La Fragua,694,353,341,694,0,ok
v6_p03,236,Laguna Blanca,266,118,148,266,0,ok
v6_p04,59,Laguna Blanca,1657,797,860,1657,0,ok
v6_p04,83,Laguna Limpia,1423,728,695,1423,0,ok
v6_p04,80,Laguna Naineck,1445,779,666,1445,0,ok
v6_p04,121,Laguna Yema,801,417,384,801,0,ok
v6_p04,65,La Isla,1562,764,798,1562,0,ok
v6_p04,36,La Leonesa,2464,1263,1201,2464,0,ok
v6_p04,144,Lapachito,618,304,314,618,0,ok
v6_p04,129,Laprida,746,393,353,746,0,ok
v6_p04,195,La Sabana,406,216,190,406,0,ok
v6_p04,282,Las Abras,113,57,56,113,0,ok
v6_p04,13,Las Breñas,6768,3294,3474,6768,0,ok
v6_p04,64,Las Garcitas,1592,827,765,1592,0,ok
v6_p04,60,Las Lomitas,1650,743,907,1650,0,ok
v6_p04,27,Las Palmas,3590,1780,1810,3590,0,ok
v6_p04,12,Las Termas,7412,3690,3722,7412,0,ok
v6_p04,136,Las Tinajas,688,316,372,688,0,ok
v6_p04,190,La Tapa,424,213,211,424,0,ok
v6_p04,108,La Tigra,910,483,427,910,0,ok
v6_p04,96,Lavalle,1162,566,596,1162,0,ok
v6_p04,51,La Verde,1728,878,850,1728,0,ok
v6_p04,283,La Vicuña,109,52,57,109,0,ok
v6_p04,192,Lilo Viejo,412,212,200,412,0,ok
v6_p04,176,Los Chiriguanos,468,244,224,468,0,ok
v6_p04,87,Los Frentones,1315,693,622,1315,0,ok
v6_p04,45,Los Juríes,1920,973,947,1920,0,ok
v6_p04,212,Los Linares,346,175,171,346,0,ok
v6_p04,151,Los Matacos,585,268,317,585,0,ok
v6_p04,198,Los Núñez,400,169,231,400,0,ok
v6_p04,104,Los Telares,1033,505,528,1033,0,ok
v6_p04,138,Lugones,634,302,332,634,0,ok
v6_p04,270,Llajta Mauca,170,86,84,170,0,ok
v6_p04,17,Machagai,4716,2264,2452,4716,0,ok
v6_p04,222,Mailín,307,154,153,307,0,ok
v6_p04,78,Makalle,1462,702,760,1462,0,ok
v6_p04,181,Malbrán,442,220,222,442,0,ok
v6_p04,262,Malota,189,95,94,189,0,ok
v6_p04,197,Mal Paso,401,209,192,401,0,ok
v6_p04,52,Margarita Belén,1711,858,853,1711,0,ok
v6_p04,168,Mariano Boedo,506,266,240,506,0,ok
v6_p04,175,Matará,475,214,261,475,0,ok
v6_p04,276,Melero,159,82,77,159,0,ok
v6_p05,120,Mesón de Pierro,808,433,375,808,0,ok
v6_p05,277,Miel de Palo,155,84,71,155,0,ok
v6_p05,152,Misión Fco. Tacaaglé,570,328,242,570,0,ok
v6_p05,43,Misión San Fco. de Laishí,1944,1033,911,1944,0,ok
v6_p05,24,Monte Quemado,4083,2024,2059,4083,0,ok
v6_p05,253,Napalpí,207,104,103,207,0,ok
v6_p05,88,Napenay,1300,699,601,1300,0,ok
v6_p05,285,Navarro,100,48,52,100,0,ok
v6_p05,229,Nueva Esperanza,281,132,149,281,0,ok
v6_p05,90,Nueva Francia,1275,642,633,1275,0,ok
v6_p05,268,Oetling,173,100,73,173,0,ok
v6_p05,124,Otumpa,760,442,318,760,0,ok
v6_p05,210,Palo Negro,366,175,191,366,0,ok
v6_p05,97,Palo Santo,1123,523,600,1123,0,ok
v6_p05,102,Palma Sola,1067,587,480,1067,0,ok
v6_p05,85,Pampa Almirón,1380,733,647,1380,0,ok
v6_p05,74,Pampa del Indio,1484,753,731,1484,0,ok
v6_p05,93,Pampa del Infierno,1261,654,607,1261,0,ok
v6_p05,47,Pampa de los Guanacos,1791,957,834,1791,0,ok
v6_p05,209,Pampa Florida,371,197,174,371,0,ok
v6_p05,220,Pampa Grande,317,151,166,317,0,ok
v6_p05,187,Patay,427,208,219,427,0,ok
v6_p05,34,Pinto,2598,1321,1277,2598,0,ok
v6_p05,15,Pirané,5285,2584,2701,5285,0,ok
v6_p05,235,Pozo Betbeder,267,139,128,267,0,ok
v6_p05,205,Pozo del Indio,378,200,178,378,0,ok
v6_p05,208,Pozo del Mortero,376,187,189,376,0,ok
v6_p05,53,Pozo del Tigre,1700,810,890,1700,0,ok
v6_p05,252,Pozo Dulce,211,118,93,211,0,ok
v6_p05,130,Pozo Grande,745,364,381,745,0,ok
v6_p05,257,Pozo Herrera,199,110,89,199,0,ok
v6_p05,114,Pozo Hondo,872,425,447,872,0,ok
v6_p05,256,Pozuelos,428,195,233,428,0,ok
v6_p05,19,Presidencia de la Plaza,4568,2201,2367,4568,0,ok
v6_p05,48,Presidencia Roca,1768,835,933,1768,0,ok
v6_p05,7,Pcia. Roque Saenz Peña,14381,6893,7488,14381,0,ok
v6_p05,131,Presidente Irigoyen,732,337,395,732,0,ok
v6_p05,61,Puerto Bermejo,1646,776,870,1646,0,ok
v6_p05,211,Puerto Las Palmas,353,183,170,353,0,ok
v6_p05,109,Puerto Pilcomayo,899,459,440,899,0,ok
v6_p05,75,Puerto Tirol,1480,685,795,1480,0,ok
v6_p06,246,Puna,235,122,113,235,0,ok
v6_p06,259,Punta Corral,192,97,95,192,0,ok
v6_p06,50,Punta Pora,1729,905,824,1729,0,ok
v6_p06,233,Quebracho Coto,271,143,128,271,0,ok
v6_p06,31,Quimilí,2902,1371,1531,2902,0,ok
v6_p06,16,Quitilipi,5217,2451,2766,5217,0,ok
v6_p06,161,Ramírez de Velasco,540,258,282,540,0,ok
v6_p06,218,Rapelli,332,159,173,332,0,ok
v6_p06,207,Real Sayana,377,178,199,377,0,ok
v6_p06,1,Resistencia,84036,40397,43639,84036,0,ok
v6_p06,57,Riacho He He,1677,849,828,1677,0,ok
v6_p06,163,Río Muerto,520,296,224,520,0,ok
v6_p06,251,Río Tapenagá,219,114,105,219,0,ok
v6_p06,241,Robles,249,125,124,249,0,ok
v6_p06,142,Roversi,621,347,274,621,0,ok
v6_p06,219,Sabagasta,331,151,180,331,0,ok
v6_p06,153,Sachayoj,570,276,294,570,0,ok
v6_p06,71,Samuhú,1497,800,697,1497,0,ok
v6_p06,164,San Antonio de Copo,517,261,256,517,0,ok
v6_p06,58,San Bernardo,1673,827,846,1673,0,ok
v6_p06,286,San Francisco,95,47,48,95,0,ok
v6_p06,111,San Hilario,890,475,415,890,0,ok
v6_p06,216,San José,337,161,176,337,0,ok
v6_p06,126,San Pedro,757,329,428,757,0,ok
v6_p06,267,San Pedro,175,108,67,175,0,ok
