"outcome","outcome_label","lp_only_coef","lp_only_se","lp_only_p","hypo_only_coef","hypo_only_se","hypo_only_p","both_lp_coef","both_lp_se","both_lp_p","both_h_coef","both_h_se","both_h_p","n_obs"
"log_pop_1960","Log pop, 1960",-0.00814095435314674,0.0249478090419021,0.744408721128226,0.0592134912986455,0.0267761004819363,0.0277547456257099,-0.00362683374019945,0.0248979645557578,0.884281078087943,0.0589335710008396,0.0270523594716305,0.0301445011171303,311
"urbshr_1960","Urban share, 1960",0.0148266408108608,0.00566429149961512,0.00930361170525986,0.0109094017073474,0.00737371240868789,0.140052747848635,0.0157288909252461,0.00573091959364656,0.0064242779201435,0.0121083665455966,0.00754349681425167,0.109515173104354,311
"log_area_km2","Log area (km$^2$)",-0.161568215558417,0.0274879948449355,1.10254801201617e-08,-0.0776940298410099,0.0294846617008336,0.00884765489727707,-0.168313579478141,0.0263017585373667,5.99212451469237e-10,-0.0905240548283374,0.0297475762960504,0.00254897961605507,311
"elev_mean_std","Elevation (std)",0.0266216337178751,0.0147162539649664,0.0714460677795976,-0.028093383449086,0.0169874707793073,0.0992130994618822,0.0244420830620522,0.0148439258195999,0.100682872448226,-0.0259991201245285,0.0173439855037926,0.134914410114576,311
"rugged_mea_std","Ruggedness (std)",0.00963002902644486,0.0143167138897164,0.501689143362015,-0.0246928230267518,0.0189954213238938,0.194614354647072,0.00776721489598749,0.0147382510692442,0.598574392717271,-0.0240821028349791,0.019374296863839,0.214838013373829,311
"wheat_std","Wheat suitability (std)",-0.0540229596187268,0.0135237245637728,8.14404705892716e-05,-0.0155280803297474,0.0161676128965991,0.337600324739367,-0.0551945080800979,0.0136848259446354,6.97844324566999e-05,-0.0191155614918669,0.0161529318426121,0.23757998560078,311
"preCal_std","Caloric pot.\ pre-1500 (std)",-0.00901935305539809,0.00303928266063667,0.00324145241197037,0.00312409986540853,0.00354513025702377,0.378890364812752,-0.00882832997994742,0.00307566589179658,0.00439034817505226,0.00238763779963264,0.00358017713104116,0.50534375154371,311
"postCal_std","Caloric pot.\ post-1500 (std)",0.00804507528583546,0.00257987126116609,0.00199366765392639,-0.00194737653153118,0.00345403710898743,0.573310556117812,0.00794369508858732,0.00260600518698764,0.00250627418801647,-0.00130057890538726,0.00347190407477834,0.708220970756908,311
"dist_to_BA_std","Distance to B.A. (std)",-0.0501674965864329,0.0126454153230701,9.08771313409597e-05,-0.0155404464509116,0.0190869610863182,0.416176627628751,-0.0513434585090992,0.0127310976300204,6.98821511591477e-05,-0.0189096675122285,0.019405963040425,0.330627692410561,311
