"schedule","label","ols_est","ols_se","ols_p","iv_lp_est","iv_lp_se","iv_lp_p","iv_h_est","iv_h_se","iv_h_p","iv_b_est","iv_b_se","iv_b_p","iv_lp_F","iv_h_F","iv_b_F","corr_treat_s0","n_obs"
"s2","Low density (100 t/day)",0.0526810477479395,0.0213530465886838,0.0141760203656377,0.0999733554639221,0.113832328521811,0.380508030614309,0.103089623273782,0.0573095404541733,0.0730486154871001,0.102595320353828,0.0501518037213684,0.0416552963660162,6.70602569209625,42.4616199512778,26.3346121348053,0.89946855684454,311
"s0","Medium density (500 t/day, baseline)",0.028248868132937,0.0138968734287276,0.0429552307854996,0.0516394488182614,0.0443272566985452,0.244957886746029,0.0802503332902057,0.0777546680238834,0.302855394443224,0.0588062653874234,0.0347220669052331,0.0913704977110438,22.9770941901703,6.68690987862418,16.5067478796308,1,311
"s1","High density (1{,}000 t/day)",0.013336738140666,0.0110131854389311,0.226853332063426,0.0313722099699535,0.0330740910917795,0.343613825960812,0.0233189924197732,0.0630387326087188,0.71170572708572,0.029701683159525,0.0267159450567385,0.26712912831511,28.8301381088656,6.17336168551466,19.678213107714,0.975488056487882,311
