"geolev2","d_1960_km","d_1986_km","c_local_60","leg_1960","leg_1986","delta_d_km","leg_1986_fixc","delta_leg","median_tau","land_share_pair_60","land_share_oneend_60"
"32006019",10.5404267578125,1.75673791503906,145.952377319336,1545379.74113837,257651.579234993,-8.78368884277344,257563.30808701,-1287816.43305136,4072806.30626881,0.605238825597525,0.37943855536654
"32006020",1.24220129394531,1.24220129394531,154.048309326172,182124.761946294,182187.17907369,0,182124.761946294,0,2497597.73651111,0.44113009488842,0.072919973974954
"32006021",2.48440258789062,2.48440258789062,161.861618041992,364249.523892589,364374.358147379,0,364249.523892589,0,2658795.61826509,0.482884159890524,0.13699794049242
"32006022",14.9064150390625,8.783689453125,156.367431640625,2185497.07176641,1288257.87827155,-6.1227255859375,1287816.52253777,-897680.549228638,4970753.2954938,0.624681542561226,0.439671201092932
"32006023",7.02695166015625,7.45320751953125,140.305114746094,1030253.23234804,1093123.03863531,0.426255859375,1092748.5358832,62495.3035351634,3685812.21116175,0.529026951236726,0.279518644283646
"32006024",3.51347583007813,3.51347583007813,153.911209106445,515126.61617402,515303.158469986,0,515126.61617402,0,2886033.80579337,0.497141571192913,0.178489460220447
"32006025",1.24220129394531,2.777646484375,156.875701904297,182124.761946294,407382.909612805,1.53544519042969,407243.340675533,225118.578729238,2636723.18441816,0.417854074713336,0.0690723861429859
"32006026",2.48440258789062,1.75673791503906,151.805328369141,364249.523892589,257651.579234993,-0.727664672851562,257563.30808701,-106686.215805579,2763460.45182683,0.464595137447257,0.131809204525361
"32006027",3.51347583007813,2.48440258789062,161.421447753906,515126.61617402,364374.358147379,-1.0290732421875,364249.523892589,-150877.092281431,2728107.80398412,0.52592033886368,0.188821942967844
"32006028",10.014947265625,10.014947265625,143.9521484375,1468336.81106836,1468840.03405032,0,1468336.81106836,0,4279025.76110597,0.558065716109433,0.343147457632703
"32006029",2.777646484375,3.72660375976562,158.453598022461,407243.340675533,546561.519317653,0.948957275390625,546374.267941602,139130.927266069,2759832.53754302,0.480784282082118,0.14756088825523
"32006030",9.0433623046875,22.83759375,149.086791992188,1325888.33626494,3349470.65537882,13.7942314453125,3348323.1304121,2022434.79414716,3984275.71048995,0.563597819023112,0.332780267383126
"32006031",5.12172705078125,5.12172705078125,152.30419921875,750919.616992846,751176.969397299,0,750919.616992846,0,3101945.46361767,0.538552466876221,0.24208021249899
"32006032",0,0,1.87399995326996,0,0,0,0,0,2394894.38411085,0.384000551613215,0
"32006033",1.24220129394531,1.24220129394531,155.019912719727,182124.761946294,182187.17907369,0,182124.761946294,0,2563739.78582813,0.429749357789976,0.0710387079660133
"32006034",1.24220129394531,3.51347583007813,139.25505065918,182124.761946294,515303.158469986,2.27127453613281,515126.61617402,333001.854227725,2898133.84654498,0.38016378291628,0.0628420810044419
"32006035",0,0,1.87399995326996,0,0,0,0,0,2399567.83965703,0.383252662981765,0
"32006036",1.24220129394531,1.24220129394531,152.816497802734,182124.761946294,182187.17907369,0,182124.761946294,0,2618223.47055511,0.420806527361339,0.0695604343916757
"32006037",10.014947265625,10.014947265625,142.805297851562,1468336.81106836,1468840.03405032,0,1468336.81106836,0,4214816.06606713,0.566567446405924,0.348375062648575
"32006038",11.7189033203125,7.556015625,151.872222900391,1718161.53137699,1108201.36677146,-4.1628876953125,1107821.6982007,-610339.833176285,4163411.21794449,0.63356756223404,0.412681198525775
"32006039",4.96880517578125,4.96880517578125,150.774337768555,728499.047785178,728748.716294758,0,728499.047785178,0,3344246.44044696,0.492828456780494,0.217836532312438
"32006040",1.24220129394531,1.24220129394531,157.639068603516,182124.761946294,182187.17907369,0,182124.761946294,0,2495789.23447839,0.44144974715003,0.0729728133410905
"32006041",2.777646484375,2.777646484375,141.476516723633,407243.340675533,407382.909612805,0,407243.340675533,0,3327776.95883562,0.39872987932874,0.122376993925105
"32006042",1.24220129394531,1.24220129394531,153.371475219727,182124.761946294,182187.17907369,0,182124.761946294,0,2561175.2316481,0.4301796741144,0.0711098403950668
"32006043",6.21100634765625,6.21100634765625,139.683853149414,910623.79183419,910935.877465032,0,910623.79183419,0,3672382.30319505,0.498386171503925,0.247965412272554
"32006044",0,0,1.87399995326996,0,0,0,0,0,2463627.792152,0.373287217932642,0
"32006045",1.24220129394531,1.24220129394531,136.423400878906,182124.761946294,182187.17907369,0,182124.761946294,0,2749515.79601188,0.40071256477171,0.066238849113165
"32006046",6.3340087890625,7.2432158203125,153.277069091797,928657.737273723,1062324.65233831,0.90920703125,1061960.70107952,133302.963805795,3454827.87457333,0.534990039715349,0.268800001328116
"32006047",0,0,1.77699995040894,0,0,0,0,0,2374083.11937708,0.387366708877175,0
"32006048",6.21100634765625,1.24220129394531,165.670150756836,910623.79183419,182187.17907369,-4.96880505371094,182124.761946294,-728499.029887896,3057900.7017539,0.598536294961565,0.297793774438748
"32006049",1.24220129394531,1.24220129394531,160.38200378418,182124.761946294,182187.17907369,0,182124.761946294,0,2406198.90445882,0.457886305433279,0.0756898199931881
"32006050",1.24220129394531,1.24220129394531,155.47981262207,182124.761946294,182187.17907369,0,182124.761946294,0,2684537.41183464,0.410411686439226,0.0678421396339671
"32006051",7.95396923828125,3.51347583007813,158.677047729492,1166167.48115696,515303.158469986,-4.44049340820312,515126.61617402,-651040.86498294,3369947.77122623,0.618943790025549,0.3460491260767
"32006052",5.55529296875,4.4788203125,154.892425537109,814486.681351066,656885.194283366,-1.07647265625,656660.146137476,-157826.53521359,3081146.93807915,0.562818807656772,0.264345290153164
"32006053",0,0,1.87399995326996,0,0,0,0,0,2423000.51351805,0.379546252435042,0
"32006054",7.85637109375,7.85637109375,152.044418334961,1151858.1748265,1152252.93541628,0,1151858.1748265,0,3957130.83984858,0.523485076237642,0.291084177259749
"32006055",14.958083984375,14.958083984375,134.172134399414,2193072.49002665,2193824.09175029,0,2193072.49002665,0,4968094.505142,0.626540668934324,0.441431314914966
"32006056",3.72660375976562,3.72660375976562,154.211700439453,546374.267941602,546561.519317653,0,546374.267941602,0,2750938.9698241,0.532914415251203,0.198613736595013
"32006057",0,0,1.87399995326996,0,0,0,0,0,2277216.36588381,0.403844262816474,0
