"part","variant","outcome","spec","estimate","std_err","p_value","first_stage_F","n_obs"
"1_placebo","t7","chg_log_placebo_pop_60_47","OLS",0.0385901035980785,0.0170037536145796,0.02417682416172,NA,237
"1_placebo","t7","chg_log_placebo_pop_60_47","IV-LP",0.0739392238896783,0.0500021624835927,0.14060130117188,19.83424113244,237
"1_placebo","t7","chg_log_placebo_pop_60_47","IV-H",0.191896956069407,0.240807121990468,0.4263471994433,1.7180315261196,237
"1_placebo","t7","chg_log_placebo_pop_60_47","IV-B",0.0870071546945241,0.0408355495616952,0.0341917476441711,11.8422834010715,237
"1_placebo","full47","chg_log_placebo_pop_60_47","OLS",-0.0122486046530477,0.0170615526544676,0.4735496977629,NA,237
"1_placebo","full47","chg_log_placebo_pop_60_47","IV-LP",0.00562720230606857,0.0490902151745251,0.908839429014454,24.3039083093003,237
"1_placebo","full47","chg_log_placebo_pop_60_47","IV-H",-0.0187864232106335,0.0549803458755894,0.732896333499909,15.9736919878926,237
"1_placebo","full47","chg_log_placebo_pop_60_47","IV-B",-0.00435581974198629,0.032233324585289,0.892625111318113,23.2064374894535,237
"1_placebo","ma47_ctrl","chg_log_placebo_pop_60_47","OLS",0.0248211585868922,0.0194379012397137,0.202925808801447,NA,237
"1_placebo","ma47_ctrl","chg_log_placebo_pop_60_47","IV-LP",0.0479562636898801,0.0590037321133758,0.417203465470217,18.7404391168131,237
"1_placebo","ma47_ctrl","chg_log_placebo_pop_60_47","IV-H",0.334126599580017,0.405207291760123,0.41047460720318,1.50402375081877,237
"1_placebo","ma47_ctrl","chg_log_placebo_pop_60_47","IV-B",0.0779102650715492,0.0502357088489646,0.122320106932082,11.0901095619685,237
"1_placebo","ma60_ctrl","chg_log_placebo_pop_60_47","OLS",0.0256839189146954,0.0192776366391966,0.184092064753955,NA,237
"1_placebo","ma60_ctrl","chg_log_placebo_pop_60_47","IV-LP",0.049605887701071,0.0585467031177016,0.39772733342813,18.6572080452074,237
"1_placebo","ma60_ctrl","chg_log_placebo_pop_60_47","IV-H",0.325870046800429,0.380582362867109,0.392767683683051,1.65464135253468,237
"1_placebo","ma60_ctrl","chg_log_placebo_pop_60_47","IV-B",0.0807305122577734,0.0494656853863714,0.104055212105199,11.1677625445377,237
"2_maineffect","1_full311","population","OLS",0.0246613387551225,0.0123120860729202,0.0460716577533108,NA,311
"2_maineffect","1_full311","population","IV-B",0.0518102350450096,0.0310619278625401,0.0963624302528063,16.1672590521111,311
"2_maineffect","2_sub237","population","OLS",0.0317946461329991,0.0134775846057881,0.0191688933709415,NA,237
"2_maineffect","2_sub237","population","IV-B",0.0773102382365265,0.0357979282224519,0.0318493294698168,11.8422834010715,237
"2_maineffect","3_sub237_pt","population","OLS",0.0254511134944142,0.0142077749318739,0.074574974430243,NA,237
"2_maineffect","3_sub237_pt","population","IV-B",0.0652759422421178,0.0382877929955273,0.0895916975834263,10.5161711348096,237
"2_maineffect","3_pretrend_coef","population","IV-B",0.13048259354249,0.107484925608611,0.226029369699112,NA,237
"2_maineffect","1_full311","mfg prod. value","OLS",0.0855558377104275,0.0398987583679019,0.0328102856033159,NA,310
"2_maineffect","1_full311","mfg prod. value","IV-B",0.316824472045926,0.120365430118754,0.00892268959041635,16.5132962335848,310
"2_maineffect","2_sub237","mfg prod. value","OLS",0.105538422302588,0.0451226979157212,0.0202083816738231,NA,237
"2_maineffect","2_sub237","mfg prod. value","IV-B",0.279951805221193,0.12783492617427,0.0295464643734654,11.8422834010715,237
"2_maineffect","3_sub237_pt","mfg prod. value","OLS",0.0846474775904188,0.0414765037337158,0.0424276589673711,NA,237
"2_maineffect","3_sub237_pt","mfg prod. value","IV-B",0.239969557678076,0.131429661837676,0.06919391742542,10.5161711348096,237
"2_maineffect","3_pretrend_coef","mfg prod. value","IV-B",0.409141388340612,0.294662557534298,0.166349324467662,NA,237
"2_maineffect","1_full311","mfg wage mass","OLS",0.115957321097096,0.0375265050554649,0.00218980320179569,NA,309
"2_maineffect","1_full311","mfg wage mass","IV-B",0.378406728138287,0.123749972188876,0.00243105209595402,17.0591499317005,309
"2_maineffect","2_sub237","mfg wage mass","OLS",0.149750718743149,0.0413426322527481,0.000360386816075176,NA,237
"2_maineffect","2_sub237","mfg wage mass","IV-B",0.349792885270232,0.11934245408498,0.00372403219581551,11.8422834010715,237
"2_maineffect","3_sub237_pt","mfg wage mass","OLS",0.132940595976406,0.0407567411117775,0.0012782652835616,NA,237
"2_maineffect","3_sub237_pt","mfg wage mass","IV-B",0.319362406839391,0.125256053214292,0.0114443715948419,10.5161711348096,237
"2_maineffect","3_pretrend_coef","mfg wage mass","IV-B",0.276920721763038,0.226784211828848,0.223329646551741,NA,237
