"characteristic","spec","beta_ma","se_ma","p_ma","beta_int","se_int","p_int","F_ma","F_int","n_obs"
"log_pop_1960","OLS",0.0230901701347678,0.0121431057890131,0.0581938822844561,-0.0254001892341744,0.0122575937338604,0.0391008259649537,NA,NA,311
"log_pop_1960","IV-Both",0.0456764335283686,0.0305733938616208,0.13622849453373,-0.0195678757588561,0.0237469229595797,0.410584340205708,8.33313106046118,16.0914389225999,311
"rurshr_1960","OLS",0.0212662479942543,0.0120851751556859,0.0794817771578571,0.0284299844072308,0.0118554900202449,0.0170958138189012,NA,NA,311
"rurshr_1960","IV-Both",0.034976613091765,0.0323689527760837,0.280763437743554,0.0120130560640458,0.0215611424109365,0.577833362058771,8.70205419900038,16.4963018105647,311
"dist_to_BA","OLS",0.0226239844281943,0.0123865339756264,0.0687688886585552,0.0154026736060768,0.00970750345880421,0.113639208695347,NA,NA,311
"dist_to_BA","IV-Both",0.0579909527181514,0.0344711895703155,0.0935507697836475,0.0149918332299848,0.014753274660805,0.310367313476992,9.48121231247903,42.6040028569956,311
