"outcome","spec","estimate","std_err","t_value","p_value","n_obs","first_stage_F","sargan_p"
"chg_empstat_emp_91_70","OLS",-0.00168790415677031,0.0018771478131028,-0.899185532960409,0.369272606230372,311,NA,NA
"chg_empstat_emp_91_70","IV-LP",-0.0136558209287352,0.00652570763066597,-2.09261917658753,0.0372203746594272,311,23.2752865738175,NA
"chg_empstat_emp_91_70","IV-H",-0.00904030431615196,0.0124450296052071,-0.726418867848207,0.468146532358681,311,4.00465929640858,NA
"chg_empstat_emp_91_70","IV-B",-0.0124996678930975,0.00566655642719879,-2.20586665882309,0.0281487155262048,311,15.3179191645211,0.765746420952741
"chg_college_91_70","OLS",0.000286059864925838,0.000201325928327505,1.42087940337468,0.15638692362397,311,NA,NA
"chg_college_91_70","IV-LP",0.00117271068888817,0.000705697722308651,1.66177479651162,0.0975990098993139,311,23.2752865738175,NA
"chg_college_91_70","IV-H",-0.00242774388672475,0.00197027314062567,-1.23218646017466,0.218841087261203,311,4.00465929640858,NA
"chg_college_91_70","IV-B",0.000270823243413791,0.000671249698315061,0.403461251593258,0.686895391377511,311,15.3179191645211,0.0289751126990486
"chg_secondary_91_70","OLS",7.27097828161147e-05,0.000866343068237641,0.0839272402375477,0.933170070995334,311,NA,NA
"chg_secondary_91_70","IV-LP",0.00666990830683962,0.00241014564438866,2.7674295627605,0.00599991439342923,311,23.2752865738175,NA
"chg_secondary_91_70","IV-H",-0.0117263778667074,0.00821871131515533,-1.42679033452409,0.154676788977321,311,4.00465929640858,NA
"chg_secondary_91_70","IV-B",0.00206177364082362,0.00244246103326339,0.844137782648211,0.399262803026728,311,15.3179191645211,0.007123635906242
"chg_mig5_91_70","OLS",-0.00907498762251906,0.00271726002116,-3.33975679612911,0.000944074221221933,311,NA,NA
"chg_mig5_91_70","IV-LP",-0.00762773303368634,0.0113034968916997,-0.6748117955681,0.500313334348824,311,23.2752865738175,NA
"chg_mig5_91_70","IV-H",-0.0745663596923394,0.0348509324179527,-2.13958004905281,0.0331927570259948,311,4.00465929640858,NA
"chg_mig5_91_70","IV-B",-0.0243953677122889,0.00898494631872936,-2.7151378368768,0.00700736014748542,311,15.3179191645211,0.00446901470931726
