"spec_id","spec_label","ma_est","ma_se","ma_p","ma_F","chg_rail_est","chg_rail_se","chg_road_est","chg_road_se","lost_rail_est","lost_rail_se","gain_road_est","gain_road_se","n_obs"
"(1)","Baseline (Table 9 spec)",0.0588062653874148,0.034722066905231,0.0913704977110715,15.3179191645211,NA,NA,NA,NA,NA,NA,NA,NA,311
"(2)","+ Δrail km, Δroad km",0.0394746139253259,0.0336993104286611,0.242389125993061,17.0199776207667,0.00127838565793313,0.000383086329726788,-0.000139320683981187,0.000109673748300881,NA,NA,NA,NA,308
"(3)","+ Lost-all-rails, Gained-first-road",0.0660122647428296,0.0339047519993756,0.0524813693258828,16.7229627228521,NA,NA,NA,NA,0.0904581400967511,0.115920493397925,-0.0521120625896265,0.064142785719813,308
"(4)","All local Z_i jointly",0.0332729513105481,0.03321978573239,0.317360262211055,18.4830748585536,0.00149607032624221,0.000358091709892472,-0.000128625861323974,0.00010834302720297,0.194329994137918,0.112919195895014,-0.0369291939839824,0.0611775589739421,308
"(1cs)","Baseline, common km-measure sample (CSV only)",0.0704230073702962,0.0348471899085007,0.0441831562486944,14.8446635768545,NA,NA,NA,NA,NA,NA,NA,NA,308
