"control_set","ols_est","ols_se","ols_p","ivb_est","ivb_se","ivb_p","ivb_F","n_obs"
"(1) 1960 baselines",0.0448543394823555,0.019171369471708,0.0201698103083538,0.0965519346438565,0.0458732114744204,0.0364123222362403,10.7801121274466,237
"(2) 1947 pop baseline",0.0322708940935272,0.021340561434665,0.131877509953448,0.0912769296450014,0.0541780596582943,0.0934095378698689,9.992031359786,237
"(3) 1947 pop, no MA baseline",-0.0136518183695194,0.0191437353456985,0.476499522968832,-0.00624738378007779,0.0360736395759403,0.862660305480254,18.3368607036328,237
"(4) no baselines",-0.00831653331167805,0.0190132569151926,0.66222837208289,-0.000510075461936386,0.034667588778198,0.988273700024537,18.9342014995814,237
